IDCustomer,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner,PreferredPaymentMethod
C00001,Ms.,Summer,Henry,1988-03-25,M,F,summer.henry@gmail.com,231380,0,Partial College,Management,Y,Credit Card
C00002,Dr.,tRINITY,Phillips,1979-05-15,S,F,trinity.phillips@live.com,39822,2,Bachelors,Skilled Manual,Y,Credit Card
C00003,Mr.,Aaron,Wood,1976-09-01,M,M,aaron.wood@live.com,27563,3,Partial College,Professional,N,Credit Card
C00004,Mr.,Ethan  ,Brooks,1974-07-10,M,M,ethan.brooks@gmail.com,97157,3,Bachelors,Clerical,Y,Credit Card
C00005,Ms.,Marilyn,Grant,1981-03-07,M,F,marilyn.grant@gmail.com,233166,2,Bachelors,Clerical,Y,Credit Card
C00006,Ms.,Julia,Morales,1980-03-19,S,F,julia.morales@yahoo.com,85743,0,Bachelors,Professional,Y,Credit Card
C00007,Mr.,Albert,Hunter,1976-11-21,M,M,albert.hunter@gmail.com,29811,2,Partial High School,Professional,Y,PayPal
C00008,Dr.,Deborah,Hayes,1970-03-13,M,F ,deborah.hayes@yahoo.com,94085,4,Partial High School,Clerical,N,Credit Card
C00009,Mrs.,Christine,Morgan,1995-04-15,M,F,christine.morgan@live.com,77932,0,Partial College,Skilled Manual,Y,Apple Pay
C00010,Dr.,Leilani,Robinson,1956-12-18,S,F,leilani.robinson@aol.com,144431,2,Graduate Degree,Management,Y,Google Pay
C00011,Mr.,Isaac,Richards,1973-04-21,M,M,isaac.richards@icloud.com,134586,0,High School,Clerical,Y,Credit Card
C00012,Dr.,  Veronica,Young,1957-07-01,S,F,veronica.young@gmail.com,130246,0,Partial College,Professional,Y,Credit Card
C00013,Mrs.,Olivia,Dunn,1987-11-19,S,F,olivia.dunn@gmail.com,133806,0,Partial High School,Professional,Y,PayPal
C00014,Mr.,Kyle,Alvarado,1970-04-04,S,M,kyle.alvarado@gmail.com,55755,2,Bachelors,Management,N,Apple Pay
C00015,Mrs.,Erin ,Pena,1998-02-04,M,F,erin.pena@gmail.com,54041,1,Graduate Degree,Skilled Manual,Y,Credit Card
C00016,Mrs.,Madeline,Thomas,1970-08-20,S,F,madeline.thomas@gmail.com,99480,0,Graduate Degree,Professional,Y,Google Pay
C00017,Ms.,Leslie,Wheeler,1990-03-13,M,F,leslie.wheeler@gmail.com,133185,4,Bachelors,Professional,Y,Credit Card
C00018,Ms.,Laurie,Wallace,1984-04-16,S,F,laurie.wallace@gmail.com,129530,2,Graduate Degree,Management,N,Apple Pay
C00019,Mr.,Jerry,Hart,1993-03-19,S,M,jerry.hart@outlook.com,170971,1,Graduate Degree,Management,Y,PayPal
C00020,Ms.,Zoe,Maldonado,1955-08-09,S,F,zoe.maldonado@yahoo.com,50730,1,Bachelors,Professional,N,PayPal
C00021,Dr.,Jason,Ruiz,1968-04-20,M,M,jason.ruiz@gmail.com,243610,2,Partial High School,Clerical,Y,PayPal
C00022,Mr.,Wesley,Johnson,1958-10-10,M,M,wesley.johnson@gmail.com,74926,4,Partial College,Professional,Y,Credit Card
C00023,Ms.,Emilia,Ray,1970-02-01,S,F,emilia.ray@yahoo.com,45024,0,Bachelors,Skilled Manual,Y,Credit Card
C00024,Mr.,Matthew,wILSON,1986-11-10,M,M,matthew.wilson@gmail.com,110659,4,Partial High School,Skilled Manual,N,Credit Card
C00025,Mr.,david,Romero,1968-06-14,S,M,david.romero@gmail.com,49396,2,Bachelors,Skilled Manual,N,Credit Card
C00026,Ms.,Kelsey,Allen,1989-02-14,S,F,kelsey.allen@gmail.com,38635,2,Bachelors,Clerical,N,Google Pay
C00027,Mr.,Ashton,Valdez,1992-06-14,M,M,ashton.valdez@gmail.com,62817,4,High School,Skilled Manual,N,Apple Pay
C00028,Ms.,Alice,  Price,1984-07-07,M,F,alice.price@gmail.com,56741,4,Graduate Degree,Clerical,N,Credit Card
C00029,Mr.,Ryker,Coleman,1991-10-25,S,M,ryker.coleman@gmail.com,25520,1,Partial College,Management,Y,Credit Card
C00030,Dr.,Bethany,Sims,1993-10-05,M,F,bethany.sims@gmail.com,48297,1,Partial College,Clerical,Y,Credit Card
C00031,Mr.,Ezra,Soto,1958-12-02,M,M,ezra.soto@gmail.com,289906,4,Partial College,Clerical,N,Credit Card
C00032,Mr.,Ryan,Patterson,1978-03-27,M,M,ryan.patterson@outlook.com,71898,2,Bachelors,Professional,Y,PayPal
C00033,Dr.,Kevin,Riley,1964-09-11,S,M,kevin.riley@aol.com,52049,1,Partial College,Clerical,N,Credit Card
C00034,Mr.,John,Guerrero,1964-04-19,S,M,john.guerrero@outlook.com,292350,2,High School,Professional,Y,PayPal
C00035,Mr.,Felix,Kelly,1989-08-24,M,M,felix.kelly@gmail.com,158646,1,Partial College,Professional,Y,Credit Card
C00036,Mr.,Lincoln,Chapman,1959-11-04,S,M,lincoln.chapman@gmail.com,160854,0,Bachelors,Professional,N,Credit Card
C00037,Ms.,Dawn,Le,1956-10-08,S,F,dawn.le@gmail.com,34953,2,Partial High School,Manual,Y,PayPal
